run_time_taipei,market_date,symbol,name,open,close,ma120,difference_points,difference_percent,position,cross_signal
2026-08-01T20:20:12+08:00,2026-07-31,^GSPC,S&P 500,7462.13,7489.72,7152.17,337.55,4.72,半年線之上,無穿越
2026-08-01T20:20:12+08:00,2026-07-31,^IXIC,NASDAQ Composite,25340.71,25373.85,24484.41,889.44,3.633,半年線之上,無穿越
2026-08-01T20:20:13+08:00,2026-07-31,^TWII,Taiwan Weighted Index,41610.41,43119.75,39417.1,3702.65,9.394,半年線之上,無穿越
2026-08-04T07:36:24+08:00,2026-08-03,^GSPC,S&P 500,7504.78,7600.5,7157.47,443.03,6.19,半年線之上,無穿越
2026-08-04T07:36:24+08:00,2026-08-03,^IXIC,NASDAQ Composite,25452.66,25913.9,24506.7,1407.19,5.742,半年線之上,無穿越
2026-08-04T07:36:24+08:00,2026-08-03,^TWII,Taiwan Weighted Index,42780.42,43362.3,39505.09,3857.21,9.764,半年線之上,無穿越
2026-08-05T07:33:07+08:00,2026-08-04,^GSPC,S&P 500,7630.62,7736.52,7164.09,572.43,7.99,半年線之上,無穿越
2026-08-05T07:33:07+08:00,2026-08-04,^IXIC,NASDAQ Composite,26088.04,26584.99,24535.72,2049.27,8.352,半年線之上,無穿越
2026-08-05T07:33:07+08:00,2026-08-04,^TWII,Taiwan Weighted Index,43092.49,43228.56,39594.39,3634.17,9.178,半年線之上,無穿越
2026-08-06T07:29:55+08:00,2026-08-05,^GSPC,S&P 500,7771.62,7723.55,7170.61,552.94,7.711,半年線之上,無穿越
2026-08-06T07:29:55+08:00,2026-08-05,^IXIC,NASDAQ Composite,26698.02,26363.44,24563.2,1800.24,7.329,半年線之上,無穿越
2026-08-06T07:29:56+08:00,2026-08-05,^TWII,Taiwan Weighted Index,43809.83,44492.8,39699.07,4793.73,12.075,半年線之上,無穿越
2026-08-07T09:36:51+08:00,2026-08-06,^GSPC,S&P 500,7713.79,7709.96,7177.92,532.04,7.412,半年線之上,無穿越
2026-08-07T09:36:51+08:00,2026-08-06,^IXIC,NASDAQ Composite,26268.84,26348.35,24594.46,1753.89,7.131,半年線之上,無穿越
2026-08-07T09:36:51+08:00,2026-08-07,^TWII,Taiwan Weighted Index,44450.19,44408.06,39908.27,4499.79,11.275,半年線之上,無穿越
2026-08-08T07:06:24+08:00,2026-08-07,^GSPC,S&P 500,7735.18,7757.64,7185.59,572.05,7.961,半年線之上,無穿越
2026-08-08T07:06:24+08:00,2026-08-07,^IXIC,NASDAQ Composite,26534.66,26690.62,24628.99,2061.62,8.371,半年線之上,無穿越
2026-08-11T07:06:47+08:00,2026-08-10,^GSPC,S&P 500,7751.74,7753.11,7193.18,559.93,7.784,半年線之上,無穿越
2026-08-11T07:06:46+08:00,2026-08-10,^IXIC,NASDAQ Composite,26680.44,26605.36,24662.55,1942.81,7.878,半年線之上,無穿越
2026-08-11T07:06:47+08:00,2026-08-10,^TWII,Taiwan Weighted Index,44540.71,45013.18,40012.78,5000.4,12.497,半年線之上,無穿越
2026-08-12T07:12:56+08:00,2026-08-11,^GSPC,S&P 500,7767.51,7728.2,7200.23,527.97,7.333,半年線之上,無穿越
2026-08-12T07:12:56+08:00,2026-08-11,^IXIC,NASDAQ Composite,26672.17,26445.45,24693.31,1752.13,7.096,半年線之上,無穿越
2026-08-12T07:12:56+08:00,2026-08-11,^TWII,Taiwan Weighted Index,44883.9,45141.38,40123.24,5018.13,12.507,半年線之上,無穿越
2026-08-13T07:10:51+08:00,2026-08-12,^GSPC,S&P 500,7765.46,7748.5,7207.62,540.88,7.504,半年線之上,無穿越
2026-08-13T07:10:56+08:00,2026-08-12,^IXIC,NASDAQ Composite,26680.47,26588.49,24725.86,1862.63,7.533,半年線之上,無穿越
2026-08-13T07:10:52+08:00,2026-08-12,^TWII,Taiwan Weighted Index,45175.7,45425.58,40236.76,5188.82,12.896,半年線之上,無穿越
2026-08-14T07:11:57+08:00,2026-08-13,^GSPC,S&P 500,7763.18,7798.99,7215.04,583.96,8.094,半年線之上,無穿越
2026-08-14T07:11:57+08:00,2026-08-13,^IXIC,NASDAQ Composite,26631.34,26803.03,24758.5,2044.52,8.258,半年線之上,無穿越
2026-08-14T07:11:58+08:00,2026-08-13,^TWII,Taiwan Weighted Index,45676.54,45972.29,40349.07,5623.22,13.936,半年線之上,無穿越
2026-08-15T06:50:12+08:00,2026-08-14,^GSPC,S&P 500,7806.6,7785.76,7222.94,562.82,7.792,半年線之上,無穿越
2026-08-15T06:50:12+08:00,2026-08-14,^IXIC,NASDAQ Composite,26851.15,26729.16,24792.69,1936.48,7.811,半年線之上,無穿越
2026-08-15T06:50:12+08:00,2026-08-14,^TWII,Taiwan Weighted Index,46103.81,45925.69,40456.58,5469.11,13.518,半年線之上,無穿越
2026-08-18T06:51:08+08:00,2026-08-17,^GSPC,S&P 500,7790.68,7745.06,7230.06,515.0,7.123,半年線之上,無穿越
2026-08-18T06:51:08+08:00,2026-08-17,^IXIC,NASDAQ Composite,26784.65,26644.91,24824.2,1820.71,7.334,半年線之上,無穿越
2026-08-18T06:51:11+08:00,2026-08-17,^TWII,Taiwan Weighted Index,45841.17,45881.86,40559.46,5322.4,13.122,半年線之上,無穿越
